,Start,End
93,2019-02-12 18:38:29.659157,2019-02-12 18:38:29.692317
94,2019-02-12 18:38:29.723924,2019-02-12 18:38:32.843436
95,2019-02-12 18:38:34.317119,2019-02-12 18:38:34.348706
96,2019-02-12 18:38:34.379736,2019-02-12 18:38:34.412594
97,2019-02-12 18:38:34.443259,2019-02-12 18:38:34.507336
98,2019-02-12 18:38:34.555541,2019-02-12 18:38:34.587682
99,2019-02-12 18:38:35.485753,2019-02-12 18:38:35.517110
100,2019-02-12 18:38:35.642589,2019-02-12 18:38:36.286392
101,2019-02-12 18:38:36.684592,2019-02-12 18:38:39.745106
102,2019-02-12 18:38:39.840359,2019-02-12 18:38:40.011818
103,2019-02-12 18:38:40.142622,2019-02-12 18:38:42.555572
104,2019-02-12 18:38:42.684616,2019-02-12 18:38:42.716918
105,2019-02-12 18:38:43.084738,2019-02-12 18:38:43.117196
106,2019-02-12 18:38:43.148713,2019-02-12 18:38:43.884453
107,2019-02-12 18:38:44.859212,2019-02-12 18:38:48.236879
108,2019-02-12 18:38:49.389354,2019-02-12 18:38:50.124089
109,2019-02-12 18:38:50.221633,2019-02-12 18:38:50.555875
110,2019-02-12 18:38:50.750020,2019-02-12 18:38:51.117456
111,2019-02-12 18:38:51.295068,2019-02-12 18:38:51.326651
112,2019-02-12 18:38:51.757176,2019-02-12 18:38:52.223531
113,2019-02-12 18:38:52.700294,2019-02-12 18:38:52.732496
114,2019-02-12 18:38:52.828690,2019-02-12 18:38:53.324279
115,2019-02-12 18:38:53.371916,2019-02-12 18:38:53.564691
116,2019-02-12 18:38:53.900543,2019-02-12 18:38:57.854247
117,2019-02-12 18:38:58.188597,2019-02-12 18:38:58.652986
118,2019-02-12 18:38:59.691573,2019-02-12 18:39:00.459808
119,2019-02-12 18:39:00.893117,2019-02-12 18:39:01.100852
120,2019-02-12 18:39:01.836145,2019-02-12 18:39:02.475992
121,2019-02-12 18:39:03.886368,2019-02-12 18:39:06.156070
122,2019-02-12 18:39:06.491485,2019-02-12 18:39:07.291831
123,2019-02-12 18:39:07.566231,2019-02-12 18:39:07.630288
124,2019-02-12 18:39:07.661473,2019-02-12 18:39:08.092802
125,2019-02-12 18:39:09.005207,2019-02-12 18:39:10.000096
126,2019-02-12 18:39:10.207149,2019-02-12 18:39:10.941929
127,2019-02-12 18:39:11.275838,2019-02-12 18:39:11.485520
128,2019-02-12 18:39:11.551419,2019-02-12 18:39:12.108087
129,2019-02-12 18:39:13.693031,2019-02-12 18:39:14.349240
130,2019-02-12 18:39:14.587918,2019-02-12 18:39:15.391558
131,2019-02-12 18:39:15.661372,2019-02-12 18:39:15.756628
132,2019-02-12 18:39:15.901471,2019-02-12 18:39:16.301469
133,2019-02-12 18:39:17.902334,2019-02-12 18:39:18.508122
134,2019-02-12 18:39:18.780584,2019-02-12 18:39:19.551448
135,2019-02-12 18:39:19.949608,2019-02-12 18:39:19.981521
136,2019-02-12 18:39:20.188283,2019-02-12 18:39:20.556759
137,2019-02-12 18:39:20.653549,2019-02-12 18:39:20.684721
138,2019-02-12 18:39:22.125150,2019-02-12 18:39:22.702079
139,2019-02-12 18:39:23.102196,2019-02-12 18:39:23.502167
140,2019-02-12 18:39:23.997022,2019-02-12 18:39:24.029163
141,2019-02-12 18:39:24.060950,2019-02-12 18:39:24.429923
142,2019-02-12 18:39:25.901478,2019-02-12 18:39:28.687307
143,2019-02-12 18:39:30.157632,2019-02-12 18:39:32.059880
144,2019-02-12 18:39:32.541665,2019-02-12 18:39:36.254272
145,2019-02-12 18:39:38.397468,2019-02-12 18:39:38.589356
146,2019-02-12 18:39:39.101618,2019-02-12 18:39:39.135909
147,2019-02-12 18:39:39.230352,2019-02-12 18:39:39.806008
148,2019-02-12 18:39:39.965280,2019-02-12 18:39:40.573209
149,2019-02-12 18:39:41.952159,2019-02-12 18:39:45.902188
150,2019-02-12 18:39:46.733983,2019-02-12 18:39:47.198887
151,2019-02-12 18:39:48.701982,2019-02-12 18:39:50.108247
152,2019-02-12 18:39:51.919004,2019-02-12 18:39:52.767355
153,2019-02-12 18:39:52.893635,2019-02-12 18:39:52.925774
154,2019-02-12 18:39:53.055006,2019-02-12 18:39:54.128263
155,2019-02-12 18:39:56.845351,2019-02-12 18:39:56.972248
